Date,Symbol,Strike Price,Last,Settle Price,Underlying,Buy Price
2002-01-31,NIFTY,1000.0,79.85,0.0,1075.4,68.05
2002-02-28,NIFTY,1000.0,151.0,0.0,1142.05,85.0
2002-03-28,NIFTY,1100.0,50.0,0.0,1129.55,35.0
2002-04-25,NIFTY,1100.0,0.15,0.0,1094.3,48.0
2002-07-25,NIFTY,1000.0,2.35,0.0,1001.55,2.35
2002-08-29,NIFTY,1000.0,0.25,0.0,987.25,30.0
2002-12-26,NIFTY,1000.0,85.0,0.0,1094.8,37.95
2003-01-30,NIFTY,1000.0,50.0,0.0,1034.6,35.0
2003-03-27,NIFTY,1000.0,2.05,0.0,1002.7,21.25
2003-04-24,NIFTY,1000.0,0.05,0.0,929.7,21.0
2003-05-29,NIFTY,900.0,74.0,0.0,1002.6,37.3
2003-06-26,NIFTY,1000.0,116.5,0.0,1116.35,11.5
2003-07-31,NIFTY,1100.0,85.0,0.0,1185.85,23.05
2003-08-28,NIFTY,1100.0,135.0,0.0,1341.05,83.05
2003-09-25,NIFTY,1300.0,60.0,0.0,1357.2,54.0
2003-10-30,NIFTY,1300.0,221.0,0.0,1516.85,88.95
2003-11-27,NIFTY,1400.0,220.0,0.0,1598.35,104.0
2003-12-24,NIFTY,1500.0,280.0,0.0,1808.7,95.0
2004-01-29,NIFTY,1700.0,100.0,0.0,1843.6,84.0
2004-02-26,NIFTY,1800.0,0.05,0.0,1765.8,101.0
2004-03-25,NIFTY,1700.0,4.4,0.0,1704.45,35.0
2004-05-27,NIFTY,1700.0,0.05,0.0,1586.4,85.0
2004-06-24,NIFTY,1500.0,0.05,0.0,1470.75,96.0
2004-07-29,NIFTY,1400.0,207.95,0.0,1618.7,70.05
2004-08-26,NIFTY,1500.0,33.25,0.0,1610.75,95.05
2004-09-30,NIFTY,1500.0,245.0,0.0,1745.5,106.0
2004-10-28,NIFTY,1700.0,100.05,0.0,1800.1,60.0
2004-11-25,NIFTY,1700.0,195.0,0.0,1901.05,107.0
2004-12-30,NIFTY,1800.0,273.0,0.0,2059.8,112.0
2005-01-27,NIFTY,2000.0,0.1,0.0,1955.0,92.0
2005-02-24,NIFTY,1900.0,156.0,0.0,2055.3,77.95
2005-03-31,NIFTY,2000.0,35.0,0.0,2035.65,91.5
