Date,Strike Price,Last,Underlying,Buy Price,VIX,P/E,1 USD,1 GBP,1 EURO,100 YEN,P&L
2002-01-31,1000.0,79.85,1075.4,68.05,,16.99,,,,,11.799999999999997
2002-02-28,1000.0,151.0,1142.05,85.0,,18.38,,,,,66.0
2002-03-28,1100.0,50.0,1129.55,35.0,,18.1,,,,,15.0
2002-04-25,1100.0,0.15,1094.3,48.0,,17.85,,,,,-47.85
2002-07-25,1000.0,2.35,1001.55,2.35,,14.9,,,,,0.0
2002-08-29,1000.0,0.25,987.25,30.0,,14.69,,,,,-29.75
2002-12-26,1000.0,85.0,1094.8,37.95,,14.85,,,,,47.05
2003-01-30,1000.0,50.0,1034.6,35.0,,14.03,,,,,15.0
2003-03-27,1000.0,2.05,1002.7,21.25,,13.69,,,,,-19.2
2003-04-24,1000.0,0.05,929.7,21.0,,12.7,,,,,-20.95
2003-05-29,900.0,74.0,1002.6,37.3,,11.61,,,,,36.7
2003-06-26,1000.0,116.5,1116.35,11.5,,12.75,,,,,105.0
2003-07-31,1100.0,85.0,1185.85,23.05,,12.84,,,,,61.95
2003-08-28,1100.0,135.0,1341.05,83.05,,14.78,,,,,51.95
2003-09-25,1300.0,60.0,1357.2,54.0,,14.95,,,,,6.0
2003-10-30,1300.0,221.0,1516.85,88.95,,16.72,,,,,132.05
2003-11-27,1400.0,220.0,1598.35,104.0,,17.62,,,,,116.0
2003-12-24,1500.0,280.0,1808.7,95.0,,19.95,,,,,185.0
2004-01-29,1700.0,100.0,1843.6,84.0,,20.34,,,,,16.0
2004-02-26,1800.0,0.05,1765.8,101.0,,19.37,,,,,-100.95
2004-03-25,1700.0,4.4,1704.45,35.0,,19.91,,,,,-30.6
2004-05-27,1700.0,0.05,1586.4,85.0,,13.65,,,,,-84.95
2004-06-24,1500.0,0.05,1470.75,96.0,,11.82,,,,,-95.95
2004-07-29,1400.0,207.95,1618.7,70.05,,13.52,,,,,137.89999999999998
2004-08-26,1500.0,33.25,1610.75,95.05,,13.46,,,,,-61.8
2004-09-30,1500.0,245.0,1745.5,106.0,,14.59,,,,,139.0
2004-10-28,1700.0,100.05,1800.1,60.0,,15.04,,,,,40.05
2004-11-25,1700.0,195.0,1901.05,107.0,,15.91,,,,,88.0
2004-12-30,1800.0,273.0,2059.8,112.0,,15.17,,,,,161.0
2005-01-27,2000.0,0.1,1955.0,92.0,,13.84,,,,,-91.9
2005-02-24,1900.0,156.0,2055.3,77.95,,14.29,,,,,78.05
2005-03-31,2000.0,35.0,2035.65,91.5,,14.6,,,,,-56.5
2005-04-28,1900.0,41.0,1941.3,49.0,,13.55,,,,,-8.0
2005-06-30,2000.0,220.0,2220.6,82.5,,14.31,,,,,137.5
2005-07-27,2100.0,222.9,2319.1,95.0,,14.69,,,,,127.9
2005-08-25,2200.0,147.0,2354.55,130.55,,14.58,,,,,16.44999999999999
2005-09-29,2200.0,406.0,2611.2,116.1,,16.21,,,,,289.9
2005-10-27,2500.0,0.05,2352.9,144.0,,14.01,,,,,-143.95
2005-12-29,2500.0,340.0,2821.95,165.0,,17.07,,,,,175.0
2006-01-25,2700.0,246.0,2940.35,123.1,,17.02,,,,,122.9
2006-02-23,2800.0,264.0,3062.1,141.0,,18.19,,,,,123.0
2006-03-30,2900.0,499.95,3418.95,196.4,,20.35,,,,,303.54999999999995
2006-04-27,3200.0,310.0,3508.1,218.85,,20.58,,,,,91.15
2006-05-25,3300.0,0.3,3177.7,310.0,,18.39,,,,,-309.7
2006-06-29,3000.0,0.3,2997.9,156.15,,17.67,,,,,-155.85
2006-07-27,2800.0,325.0,3156.15,259.0,,17.83,,,,,66.0
2006-08-31,3000.0,412.1,3413.9,180.0,,19.15,,,,,232.10000000000002
2006-09-28,3200.0,372.0,3571.75,233.0,,20.83,,,,,139.0
2006-10-26,3400.0,279.95,3677.55,220.0,,20.79,,,,,59.94999999999999
2006-11-30,3500.0,454.85,3954.5,230.0,,21.18,,,,,224.85000000000002
2006-12-28,3800.0,172.0,3970.55,205.0,,21.28,,,,,-33.0
2007-01-25,3800.0,350.0,4147.7,220.35,,21.35,,,,,129.65
2007-02-22,3900.0,180.1,4040.0,249.0,,19.42,,,,,-68.9
2007-03-29,3800.0,0.5,3798.1,360.0,,18.29,,,,,-359.5
2007-04-26,3600.0,595.0,4177.85,210.0,,20.25,,,,,385.0
2007-05-31,4000.0,299.95,4295.8,275.0,,20.41,,,,,24.94999999999999
2007-06-28,4100.0,181.0,4282.0,220.0,,20.42,,,,,-39.0
2007-07-26,4100.0,519.0,4619.8,207.0,,21.71,,,,,312.0
2007-08-30,4400.0,11.0,4412.3,200.05,,19.96,,,,,-189.05
2007-09-27,4200.0,794.15,5000.55,248.8,,22.49,,,,,545.3499999999999
2007-10-25,4800.0,770.0,5568.95,290.0,,25.01,,,,,480.0
2007-11-29,5300.0,335.0,5634.6,300.0,,24.65,,,,,35.0
2007-12-27,5400.0,690.0,6081.5,351.0,,27.36,,,,,339.0
2008-01-31,5800.0,0.05,5137.45,400.0,,21.97,,,,,-399.95
2008-02-28,4900.0,380.0,5285.1,445.0,,22.53,,,,,-65.0
2008-03-27,5000.0,0.15,4830.25,350.35,,21.05,,,,,-350.20000000000005
2008-04-24,4600.0,401.95,4999.85,350.0,,21.57,,,,,51.94999999999999
2008-05-29,4700.0,140.0,4835.3,422.0,,20.59,,,,,-282.0
2008-06-26,4600.0,0.05,4315.85,366.0,,18.45,,,,,-365.95
2008-07-31,4100.0,228.8,4332.95,115.0,,18.22,,,,,113.80000000000001
2008-08-28,4100.0,113.8,4214.0,330.0,,17.81,,,,,-216.2
2008-09-25,4000.0,108.0,4110.55,330.0,,17.66,46.25,,,,-222.0
2008-10-29,3900.0,0.05,2697.05,362.0,,11.42,49.77,,,,-361.95
2008-11-26,2600.0,155.0,2752.25,300.0,,12.06,49.85,,,,-145.0
2008-12-24,2600.0,317.5,2916.85,279.0,,12.79,48.99,,,,38.5
2009-01-29,2800.0,22.25,2823.95,244.5,,13.17,48.9,,,,-222.25
2009-02-26,2700.0,86.0,2785.65,223.0,,13.22,50.41,,,,-137.0
2009-03-26,2600.0,478.9,3082.25,200.0,37.23,14.64,50.54,,,,278.9
2009-04-29,2900.0,573.55,3473.95,201.0,45.87,16.53,50.22,,,,372.54999999999995
2009-05-28,3300.0,1040.0,4337.1,350.15,37.78,20.32,47.83,,,,689.85
2009-06-25,4100.0,141.8,4241.85,287.0,43.63,19.07,48.53,,,,-145.2
2009-07-30,4000.0,566.0,4571.45,435.05,36.6,20.31,48.49,,,,130.95
2009-08-27,4300.0,384.5,4688.2,235.05,33.6,21.01,48.98,,,,149.45
2009-09-24,4500.0,486.5,4986.55,270.0,24.31,22.46,48.1,,,,216.5
2009-10-29,4700.0,50.05,4750.55,314.0,28.31,21.0,47.52,,,,-263.95
2009-11-26,4500.0,507.75,5005.55,340.0,28.12,22.25,46.27,,,,167.75
2009-12-31,4800.0,401.0,5201.05,357.85,23.35,23.17,46.68,,,,43.14999999999998
2010-01-28,4900.0,0.05,4867.25,350.0,26.93,21.09,46.31,,,,-349.95
2010-02-25,4600.0,259.95,4859.75,330.0,29.71,20.79,46.36,71.0467,62.42,51.82,-70.05000000000001
2010-03-25,4600.0,661.0,5260.4,315.45,17.84,22.38,45.63,67.8906,60.71,49.57,345.55
2010-04-29,5000.0,251.0,5254.15,262.05,21.09,22.22,44.57,67.6706,58.88,47.42,-11.050000000000011
2010-05-27,5000.0,3.0,5003.1,265.25,29.62,20.88,,,,,-262.25
2010-06-24,4800.0,517.6,5320.6,217.5,19.81,22.28,46.24,69.2629,57.05,51.48,300.1
2010-07-29,5100.0,308.5,5408.9,280.0,18.33,22.49,46.63,72.8687,60.74,53.39,28.5
2010-08-26,5100.0,378.1,5477.9,332.65,17.09,23.05,46.81,72.8574,59.45,55.25,45.450000000000045
2010-09-30,5200.0,831.0,6029.95,308.0,22.25,25.46,,,,,523.0
2010-10-28,5700.0,285.0,5987.7,361.2,20.52,24.59,44.49,70.401,61.56,54.6,-76.19999999999999
2010-11-25,5700.0,94.0,5799.75,390.0,21.63,23.15,45.64,71.9127,60.81,54.68,-296.0
2010-12-30,5500.0,599.0,6101.85,435.55,17.02,24.35,44.9,69.6938,59.47,55.16,163.45
2011-01-27,5800.0,0.05,5604.3,335.25,22.09,21.64,45.57,72.5019,62.46,55.44,-335.2
2011-02-24,5300.0,0.05,5262.7,415.9,28.2,20.15,45.37,73.5425,62.39,55.28,-415.84999999999997
2011-03-31,5000.0,837.35,5833.75,460.0,22.18,22.14,44.65,71.9289,63.24,54.02,377.35
2011-04-28,5500.0,281.5,5785.45,386.6,20.92,21.61,44.33,74.1397,65.78,54.24,-105.10000000000002
2011-05-26,5500.0,0.05,5412.35,387.9,19.18,19.95,45.29,73.8408,64.18,55.38,-387.84999999999997
2011-06-30,5100.0,545.0,5647.4,295.0,18.41,20.82,44.72,71.9567,64.79,55.59,250.0
2011-07-28,5400.0,85.5,5487.75,272.95,18.51,19.86,44.1263,72.0538,63.3322,56.72,-187.45
2011-08-25,5200.0,0.05,4839.6,322.8,27.94,17.47,46.1285,75.5193,66.259,59.84,-322.75
